Timestamp,Water in ,Water out,Solid in,Solid out,,Translated ,,Water in ,Water out,Solid in,Solid out
08/24/2020 19:04,1,,,,,,08/24/2020 19:04,1,,,
08/24/2020 20:11,1,,,,,,08/24/2020 20:11,1,,,
08/24/2020 20:20,,X,,,,,08/24/2020 20:20,,1,,
08/24/2020 21:09,X,,,,,,08/24/2020 21:09,1,,,
08/24/2020 21:48,,X,,X,,,08/24/2020 21:48,,1,,1
08/24/2020 21:50,X,,,,,,08/24/2020 21:50,1,,,
08/25/2020 05:15,,x,,,,,08/25/2020 05:15,,1,,
08/25/2020 07:20,,X,,,,,08/25/2020 07:20,,1,,
08/25/2020 08:09,,,X,,,,08/25/2020 08:09,,,1,
08/25/2020 08:51,,1,,1,,,08/25/2020 08:51,,1,,1
08/25/2020 09:00,1,,,,,,08/25/2020 09:00,1,,,
08/25/2020 11:44,,1,,,,,08/25/2020 11:44,,1,,
08/25/2020 11:58,,,,1,,,08/25/2020 11:58,,,,1
8/25/2020 12:05:02,,,1,,,,8/25/2020 12:05:02,,,1,
08/25/2020 14:29,,1,,,,,08/25/2020 14:29,,1,,
08/25/2020 14:50,X,,,,,,08/25/2020 14:50,1,,,
08/25/2020 16:00,,,1,,,,08/25/2020 16:00,,,1,
08/25/2020 16:30,x,,,,,,08/25/2020 16:30,1,,,
08/25/2020 16:50,,1,,,,,08/25/2020 16:50,,1,,
08/25/2020 18:50,,x,,,,,08/25/2020 18:50,,1,,
08/25/2020 19:10,,,1,,,,08/25/2020 19:10,,,1,
08/25/2020 20:25,,11,,,,,08/25/2020 20:25,,-1,,
08/25/2020 21:35,,x,,x,,,08/25/2020 21:35,,1,,1
08/25/2020 21:48,x,,,,,,08/25/2020 21:48,1,,,
08/26/2020 05:20,,x,,x,,,08/26/2020 05:20,,1,,1
08/26/2020 05:40,1,,,,,,08/26/2020 05:40,1,,,
08/26/2020 07:23,,A,,,,,08/26/2020 07:23,,1,,
08/26/2020 08:05,,,1,,,,08/26/2020 08:05,,,1,
08/26/2020 08:56,,1,,1,,,08/26/2020 08:56,,1,,1
08/26/2020 11:00,,1,,,,,08/26/2020 11:00,,1,,
08/26/2020 12:00,,,1,,,,08/26/2020 12:00,,,1,
08/26/2020 12:48,,1,,1,,,08/26/2020 12:48,,1,,1
08/26/2020 13:03,X,,,,,,08/26/2020 13:03,1,,,
08/26/2020 15:25,,W,,,,,08/26/2020 15:25,,1,,
08/26/2020 15:53,,,X,,,,08/26/2020 15:53,,,1,
08/26/2020 16:30,1,,,,,,08/26/2020 16:30,1,,,
08/26/2020 17:00,,1,,1,,,08/26/2020 17:00,,1,,1
08/26/2020 17:40,1,,,,,,08/26/2020 17:40,1,,,
08/26/2020 19:00,W,,W,,,,08/26/2020 19:00,1,,1,
08/26/2020 19:24,1,,,,,,08/26/2020 19:24,1,,,
08/26/2020 19:21,,,,X,,,08/26/2020 19:21,,,,1
08/26/2020 19:26,,1,,,,,08/26/2020 19:26,,1,,
08/26/2020 19:55,1,,,,,,08/26/2020 19:55,1,,,
08/26/2020 21:28,,X,,,,,08/26/2020 21:28,,1,,
08/26/2020 21:33,X,,,,,,08/26/2020 21:33,1,,,
08/27/2020 05:20,,x,,x,,,08/27/2020 05:20,,1,,1
08/27/2020 07:28,, W,,,,,08/27/2020 07:28,,1,,
08/27/2020 08:05,,,X,,,,08/27/2020 08:05,,,1,
08/27/2020 08:48,X,,,,,,08/27/2020 08:48,1,,,
08/27/2020 09:10,,1,,,,,08/27/2020 09:10,,1,,
08/27/2020 12:02,,,X,,,,08/27/2020 12:02,,,1,
08/27/2020 12:16,,X,,W,,,08/27/2020 12:16,,1,,1
08/27/2020 12:16,W,,,,,,08/27/2020 12:16,1,,,
08/27/2020 14:13,W,,,,,,08/27/2020 14:13,1,,,
08/27/2020 14:32,,W,,,,,08/27/2020 14:32,,1,,
08/27/2020 15:45,,x,,,,,08/27/2020 15:45,,1,,
08/27/2020 16:00,,,x,,,,08/27/2020 16:00,,,1,
8/27/2020 17:30:50,,X,,,,,8/27/2020 17:30:50,,1,,
08/27/2020 18:15,1,,,,,,08/27/2020 18:15,1,,,
08/27/2020 19:16,,,1,,,,08/27/2020 19:16,,,1,
08/27/2020 19:31,,x,,x,,,08/27/2020 19:31,,1,,1
08/27/2020 19:54,W,,,,,,08/27/2020 19:54,1,,,
08/27/2020 20:46,X,,,,,,08/27/2020 20:46,1,,,
